Number,Type,Release date,Source,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J
1,GPU,19.03.2012,https://www.cryptocompare.com/mining/amd/radeon-hd-7870-ethereum-mining/,5/7/2018,AMD,Radeon HD 7870,10,175,0.06
,,3/19/2012,https://en.wikipedia.org/wiki/Radeon_HD_7000_Series,5/7/2018,,,,,
2,GPU,22.03.2012,https://en.wikipedia.org/wiki/GeForce_600_series,5/7/2018,NVIDIA,GeForce GTX 680,15,195,0.08
,,3/22/2012,https://cryptomining24.net/gpu-table-with-hashrate/,5/7/2018,,,,,
3,GPU,16.08.2012,https://en.wikipedia.org/wiki/GeForce_600_series,5/7/2018,NVIDIA,GeForce GTX 660 Ti,12,150,0.08
,,8/16/2012,https://cryptomining24.net/gpu-table-with-hashrate/,5/7/2018,,,,,
4,GPU,09.10.2012,https://en.wikipedia.org/wiki/GeForce_600_series,5/7/2018,NVIDIA,GeForce GTX 650 Ti,10,110,0.09
,,10/9/2012,https://cryptomining24.net/gpu-table-with-hashrate/,5/7/2018,,,,,
5,GPU,01.04.2013,https://www.cryptocompare.com/mining/amd/radeon-r9-hd-7990-ethereum-mining/,5/7/2018,AMD,Radeon R9 HD 7990,36,375,0.10
,,4/1/2013,https://en.wikipedia.org/wiki/Radeon_HD_7000_Series,5/7/2018,,,,,
6,GPU,23.05.2013,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA ,GeForce GTX 780,20,250,0.08
,,5/23/2013,https://cryptomining24.net/gpu-table-with-hashrate/,5/7/2018,,,,,
7,GPU,30.05.2013,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA,GeForce GTX 770,15,230,0.07
,,5/30/2013,https://cryptomining24.net/gpu-table-with-hashrate/,5/7/2018,,,,,
8,GPU,25.06.2013,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA,GeForce GTX 760,15,170,0.09
,,6/25/2013,https://cryptomining24.net/gpu-table-with-hashrate/,5/7/2018,,,,,
9,GPU,24.10.2013,http://www.sapphiretech.com/page.asp?IDno=5371&lang=eng,5/7/2018,AMD,Sapphire R9 290X,31,290,0.11
,,10/24/2013,https://cryptomining24.net/gpu-table-with-hashrate/,5/7/2018,,,,,
,,10/24/2013,https://www.amazon.com/gp/product/B00HJOXUKC/ref=as_li_tl?ie=UTF8&tag=jitendradhg13-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B00HJOXUKC&linkId=e0d7f5edd5168764bddde4d995694839,5/7/2018,,,,,
10,GPU,07.11.2013,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA,GeForce GTX 780 Ti,22,250,0.09
,,11/7/2013,https://cryptomining24.net/gpu-table-with-hashrate/,5/7/2018,,,,,
11,GPU,19.12.2013,https://www.cryptocompare.com/mining/amd/radeon-r9-290x-tri-x-ethereum-mining/,5/7/2018,AMD,Radeon R9 290x Tri-X,22,290,0.08
