,name,release_date,hashing_power,power,consumption,type,efficiency
0,Bitmain Antminer S3,7/1/2014,4.78E+11,366,7.66E-10,ASIC,1306011571
1,Bitmain Antminer S5,12/1/2014,1E+12,590,5.11E-10,ASIC,1957636741
2,Bitmain Antminer S7,9/1/2015,5E+12,1293,2.73E-10,ASIC,3658179690
3,Bitmain Antminer S9 (11.5Th),6/1/2016,1.2E+13,1127,9.80E-11,ASIC,10204081633
4,Bitmain Antminer S7-LN,6/1/2016,3E+12,697,2.58E-10,ASIC,3873716831
5,Bitmain Antminer R4,2/1/2017,9E+12,845,9.71E-11,ASIC,10295480284
6,Bitmain Antminer S9 (12.5Th),2/1/2017,1.3E+13,1225,9.80E-11,ASIC,10204081633
7,Bitmain Antminer T9 (11.5Th),4/1/2017,1.2E+13,1450,1.26E-10,ASIC,7930843049
8,Canaan AvalonMiner 741,4/1/2017,7E+12,1150,1.58E-10,ASIC,6347997207
9,Bitmain Antminer S9 (13Th),7/1/2017,1.3E+13,1300,1.00E-10,ASIC,10000000000
10,Bitmain Antminer T9 (12.5Th),8/1/2017,1.3E+13,1576,1.26E-10,ASIC,7931472081
11,Bitmain Antminer S9 (13.5Th),9/1/2017,1.4E+13,1323,9.80E-11,ASIC,10204081633
12,Pantech SX6,9/1/2017,9E+12,1000,1.18E-10,ASIC,8499787505
13,Bitmain Antminer S9 (14Th),11/1/2017,1.4E+13,1372,9.80E-11,ASIC,10204081633
14,Bitfury B8,12/1/2017,4.9E+13,6400,1.31E-10,ASIC,7656381594
15,Ebang Ebit E9+,1/1/2018,9E+12,1300,1.44E-10,ASIC,6923289947
16,Bitmain Antminer T9+ (10.5Th),1/1/2018,1.1E+13,1432,1.36E-10,ASIC,7332453439
17,MicroBT Whatsminer M3,1/1/2018,1.2E+13,2000,1.67E-10,ASIC,5999880002
18,Bitfily Snow Panther A1,1/1/2018,4.9E+13,5400,1.10E-10,ASIC,9074410163
19,Pantech WX6,1/1/2018,3.4E+13,5000,1.47E-10,ASIC,6799945600
20,Ebang Ebit E10,2/1/2018,1.8E+13,1650,9.17E-11,ASIC,10908694229
21,Canaan AvalonMiner 821,2/1/2018,1.2E+13,1200,1.04E-10,ASIC,9583133685
22,Bitmain Antminer V9 (4Th),3/1/2018,4E+12,1027,2.57E-10,ASIC,3894839338
23,MicroBT Whatsminer M3X,3/1/2018,1.3E+13,2050,1.64E-10,ASIC,6097560976
24,Halong Mining DragonMint T1,4/1/2018,1.6E+13,1480,9.25E-11,ASIC,10810810811
25,Canaan AvalonMiner 841,4/1/2018,1.4E+13,1290,9.49E-11,ASIC,10542962572
26,ASICminer 8 Nano Pro,5/1/2018,7.6E+13,4000,5.26E-11,ASIC,19000570017
27,Innosilicon T2 Terminator,5/1/2018,1.7E+13,1570,9.13E-11,ASIC,10955302366
28,Bitmain Antminer S9i (14Th),5/1/2018,1.4E+13,1320,9.43E-11,ASIC,10605578534
29,Bitmain Antminer S9i (13.5Th),5/1/2018,1.4E+13,1310,9.70E-11,ASIC,10305028854
30,Bitmain Antminer S9i (13Th),5/1/2018,1.3E+13,1280,9.85E-11,ASIC,10156408694
31,Ebang Ebit E9.2,5/1/2018,1.2E+13,1320,1.10E-10,ASIC,9090909091
32,Ebang Ebit E9.3,5/1/2018,1.6E+13,1760,1.10E-10,ASIC,9090909091
33,Bitfily Snow Panther B1,7/1/2018,1.6E+13,1380,8.63E-11,ASIC,11594202899
34,Aladdin Miner 16Th/s Bitcoin,7/1/2018,1.6E+13,1400,8.75E-11,ASIC,11428571429
35,Ebang Ebit E9i,7/1/2018,1.4E+13,1420,1.05E-10,ASIC,9506607092
36,Innosilicon T2 Turbo,8/1/2018,2.4E+13,1980,8.25E-11,ASIC,12121212121
37,Bitfily Snow Panther B1+,8/1/2018,2.5E+13,2100,8.57E-11,ASIC,11667250029
38,Bitmain Antminer S9j (14.5Th),8/1/2018,1.5E+13,1350,9.31E-11,ASIC,10741138561
39,Bitmain Antminer S9 Hydro (18Th),8/1/2018,1.8E+13,1728,9.60E-11,ASIC,10416666667
40,MicroBT Whatsminer M10S,9/1/2018,5.5E+13,3500,6.36E-11,ASIC,15713387806
41,MicroBT Whatsminer M10,9/1/2018,3.3E+13,2145,6.50E-11,ASIC,15384615385
42,Innosilicon T2 Turbo+ 32T,9/1/2018,3.2E+13,2200,6.88E-11,ASIC,14545454545
43,Canaan AvalonMiner 921,9/1/2018,2E+13,1700,8.50E-11,ASIC,11764705882
44,Ebang Ebit E11++,10/1/2018,4.4E+13,1980,4.50E-11,ASIC,22222222222
45,ASICminer 8 Nano 44Th,10/1/2018,4.4E+13,2100,4.77E-11,ASIC,20951183742
46,Ebang Ebit E11+,10/1/2018,3.7E+13,2035,5.50E-11,ASIC,18181818182
47,Ebang Ebit E11,10/1/2018,3E+13,1950,6.50E-11,ASIC,15384615385
48,GMO miner B2,10/1/2018,2.4E+13,1950,8.13E-11,ASIC,12307692308
49,Bitfury Tardis,11/1/2018,8E+13,6300,7.88E-11,ASIC,12698412698
50,Bitmain Antminer S11 (20.5Th),11/1/2018,2.1E+13,1530,7.46E-11,ASIC,13399437224
51,GMO miner B3,11/1/2018,3.3E+13,3417,1.04E-10,ASIC,9657170449
52,Holic H22,12/1/2018,2.2E+13,1700,7.73E-11,ASIC,12941633234
53,Holic H28,12/1/2018,2.8E+13,2100,7.50E-11,ASIC,13333333333
54,Innosilicon T3 43T,1/1/2019,4.3E+13,2100,4.88E-11,ASIC,20475020475
55,Innosilicon T3 39T,3/1/2019,3.9E+13,2150,5.51E-11,ASIC,18138944313
56,Bitmain Antminer S17 Pro (53Th),4/1/2019,5.3E+13,2094,3.95E-11,ASIC,25310048089
57,Bitmain Antminer S17 Pro (50Th),4/1/2019,5E+13,1975,3.95E-11,ASIC,25316455696
58,Bitmain Antminer S17 (56Th),4/1/2019,5.6E+13,2520,4.50E-11,ASIC,22222222222
59,Bitmain Antminer S17 (53Th),4/1/2019,5.3E+13,2385,4.50E-11,ASIC,22222222222
60,Innosilicon T3+ 52T,5/1/2019,5.2E+13,2200,4.23E-11,ASIC,23635074450
61,Bitmain Antminer T17 (40Th),5/1/2019,4E+13,2200,5.50E-11,ASIC,18181818182
62,MicroBT Whatsminer M21S,6/1/2019,5.6E+13,3360,6.00E-11,ASIC,16666666667
63,StrongU STU-U8,7/1/2019,4.6E+13,2100,4.57E-11,ASIC,21905805038
64,Innosilicon T3,7/1/2019,5E+13,3100,6.20E-11,ASIC,16129032258
65,Bitmain Antminer S9 SE,7/1/2019,1.6E+13,1280,8.00E-11,ASIC,12500000000
66,MicroBT Whatsminer M21,8/1/2019,3.1E+13,1860,6.00E-11,ASIC,16666666667
