Type,Model,kH/s,C,M,V,W,Miner,Config,Notes (OS/TEMPS/DRIVERS/HARDWARE/FIRMWARE)
AMD GPU,4350,10,680,450,0.900 ?,,cgminer 3.3.4,-I 9 -g 1 -w 128 --thread-concurrency 2048,"Ubuntu 12.04 LTS, APP SDK v2.7, Catalyst 13.1"
AMD GPU,4770,116,830,850,,,cgminer 3.7.2,-I 11 -g 1 -w 128 --thread-concurrency 1024,"Windows 7 x64, 81C"
AMD GPU,4850,100,625,993,,,cgminer 2.11.4,-I 15 -g 1,"Windows 7 x64, 71C"
AMD GPU,4850,110,650,993,,110,GUIMiner-scrypt v0.03,-I 16 -g 1 -w 128 --thread-concurrency 3200,
AMD GPU,4850,126,750,750,,115,GUIMiner-scrypt v0.04,-I 17 -g 1 -w 256 --thread-concurrency 3136,Windows Vista x64
AMD GPU,"4870, ASUS",135,750,900,Y,,cgminer 3.4.0,-I 17 -g 1 -w 128 --thread-concurrency 6400,"Windows 7 x64, 75C, Catalyst 13.1"
AMD GPU,4870,142,750,900,,,Reaper,worksize 128 gpu_thread_concurrency 4192,"Catalyst 13.1, SDK 2.8"
AMD GPU,"4890, 113-B79002-103",145,835,575,1.312 ?,,cgminer 2.7.5,-I 15 -g 1 -w 128 --thread-concurrency 6400,"Winows 7 x64, 72C, Catalyst 12.4, SDK 2.7"
AMD GPU,5450,21,891,875,,,cgminer 2.11.3,-I 18 -w 256 --shaders 80,"Arch Linux, Catalyst 13.1-4"
AMD GPU,5570,88,775,790,,,Reaper v13 Beta 4,aggression 15 threads_per_gpu 2 worksize 128 sharethreads 24 gpu_thread_concurrency 4096,"Windows 8 x64, Catalyst 12.8, http://i.imgur.com/tgHGr2I.png"
AMD GPU,"5670, Gigabyte",100,850,1000,,,cgminer 2.11.4,-I 16 -g 2 -w 128 --thread-concurrency 3048,
AMD GPU,5750. Sapphire 512MB,135,770,1210,1.1,,cgminer 3.4.3,-I 11 --thread-concurrency 3008,"Linux, Catalyst 12.8, SDK 2.7"
AMD GPU,"5750, Sapphire",153,710,1160,,,cgminer 3.7.2,-I 20,"Celeron E3200, Asrock G41, onboard GPU in use"
AMD GPU,5750,196,925,1150,,,cgminer 3.0.0,-I 18 -g 1 -w 256 --thread-concurrency 6016,Windows 7 x64
AMD GPU,5770,167,725,1100,,,cgminer 2.6.1,-I 18 -w 256 --shaders 800,Debian Linux
AMD GPU,"5770, MSI",185,915,1250,1.250 N,,bfgminer 3.2.1,-I 18,"Windows 7, 90C, Catalyst 13.9, MSI HAWK with only one fan"
AMD GPU,5770,210,910,1250,,,Reaper V13 Beta 4,aggression 17 threads_per_gpu 4,Windows 7 x64
AMD GPU,"5770, HIS",213,935,1380,Y,,GUIMiner-scrypt v0.02,-I 17 --thread-concurrency 7680,"Windows 7 x64, 80C"
AMD GPU,"5830, Gigabyte",281,960,1000,1.11,,cgminer 3.3.0,-I 18 -g 2 -thread-conccurency 6016,"Windows 7 x64, 69C"
AMD GPU,5830,282,950,1250,,,cgminer 2.6.4,-I 20 -g 1,
AMD GPU,5830,303,917,1250,,,cgminer 2.11.3,-I 20 -g 1 --thread-concurrency 5600,"Ubuntu Server 12.04 x64, Catalyst 11.11, APP SDK 2.5,"
AMD GPU,"5830, XFX",308,955,1338,1.183 Y,,cgminer 3.1.0,-I 18 --thread-concurrency 5600,"75C, i3-530 @ 4GHz (20.5khash/s), 10GB RAM, using a HIS 5830 Cooler and Liquidmetal Pad (an SMT capacitor exploded into flames)"
AMD GPU,"5850, XFX",325,765,1125,,,cgminer 3.1.0,-I 19 -g 1 -w 256 --thread-concurrency 5824,"Windows 7, 72C, Catalyst 13.2, SDK 2.7, Xeon x5460"
AMD GPU,"5850, MSI",341,775,1000,1,,Reaper,aggression 20 worksize 128 sharethreads 48 gpu_thread_concurrency 12000,"Windows 7 x64, Catalyst 12.1, SDK 2.5"
AMD GPU,"5850, Sapphire Vapor-X",420,1000,1100,,,GUIMiner-scrypt v0.04,--thread-concurrency 5824,
AMD GPU,5870,226,850,1200,,,Reaper v13 Beta,,
AMD GPU,"5870, XFX",310,920,1250,,,Reaper v13 Beta,threads_per_gpu 5,
