,name,release_date,hashing_power,power,algorithm,Revenue 24h,Profit 24h,Top Coin,efficiency,consumption
0,Todek Toddminer C1 Pro,2020-04-01,3000000000000.0,2700.0,Eaglesong,39.27,32.79,Nervos(CKB) Eaglesong,1111111111.1111112,9e-10
1,Todek Toddminer C1,2020-03-01,1600000000000.0,1380.0,Eaglesong,20.95,17.64,Nervos(CKB) Eaglesong,1159420289.8550725,8.625e-10
2,Bitmain Antminer K5,2020-04-01,1130000000000.0,1580.0,Eaglesong,14.8,11.01,Nervos(CKB) Eaglesong,715189873.4177215,1.3982300884955752e-09
3,Bitmain Antminer S19 Pro,2020-01-01,110000000000000.0,3250.0,SHA-256,13.18,5.38,Bitcoin(BTC) SHA-256,33846153846.153847,2.9545454545454544e-11
4,Innosilicon A10 ETHMaster 500Mh,2019-09-01,500000000.0,750.0,Ethash,6.11,4.31,Ethereum(ETH) Ethash,666666.6666666666,1.5e-06
5,Innosilicon A10 ETHMaster 485Mh,2018-09-01,485000000.0,850.0,Ethash,5.93,3.89,Ethereum(ETH) Ethash,570588.2352941176,1.752577319587629e-06
6,Bitmain Antminer S19 95Th,2020-01-01,95000000000000.0,3250.0,SHA-256,11.39,3.59,Bitcoin(BTC) SHA-256,29230769230.76923,3.4210526315789476e-11
7,MicroBT Whatsminer M30s,2020-03-01,88000000000000.0,3344.0,SHA-256,10.55,2.52,Bitcoin(BTC) SHA-256,26315789473.68421,3.8e-11
8,BlackMiner F1-Ultra,2020-02-01,4300000000.0,550.0,Handshake,3.79,2.47,Handshake(HNS) Handshake,7818181.818181818,1.2790697674418605e-07
9,BlackMiner F1+,2019-04-01,4000000000.0,500.0,Handshake,3.53,2.33,Handshake(HNS) Handshake,8000000.0,1.25e-07
10,Bitmain Antminer Z11,2019-04-01,,1418.0,Equihash,5.53,2.13,Horizen(ZEN) Equihash,,
11,Innosilicon A9++ ZMaster,2019-05-01,,1550.0,Equihash,5.73,2.01,Horizen(ZEN) Equihash,,
12,Bitmain Antminer S17+ 76Th,2019-12-01,76000000000000.0,3040.0,SHA-256,9.11,1.81,Bitcoin(BTC) SHA-256,25000000000.0,4e-11
13,Bitmain Antminer S17+ 73Th,2019-12-01,73000000000000.0,2920.0,SHA-256,8.75,1.74,Bitcoin(BTC) SHA-256,25000000000.0,4e-11
14,Bitmain Antminer S17+ 70Th,2020-01-01,70000000000000.0,2800.0,SHA-256,8.39,1.67,Bitcoin(BTC) SHA-256,25000000000.0,4e-11
15,Bitmain Antminer S17+ 67Th,2020-02-01,67000000000000.0,2680.0,SHA-256,8.03,1.6,Bitcoin(BTC) SHA-256,25000000000.0,4e-11
16,Bitmain Antminer S17 Pro 59Th,2020-02-01,59000000000000.0,2300.0,SHA-256,7.07,1.55,Bitcoin(BTC) SHA-256,25652173913.04348,3.898305084745763e-11
17,StrongU STU-U6,2019-11-01,420000000000.0,2100.0,X11,6.51,1.47,Imagecoin(IMG) X11,200000000.0,5e-09
18,Bitmain Antminer B7,2019-03-01,,528.0,Tensority,2.73,1.47,Bytom(BTM) Tensority,,
19,Bitmain Antminer S17 Pro 56Th,2019-06-01,56000000000000.0,2212.0,SHA-256,6.71,1.4,Bitcoin(BTC) SHA-256,25316455696.20253,3.9500000000000006e-11
20,Bitmain Antminer S17 59Th,2019-09-01,59000000000000.0,2385.0,SHA-256,7.07,1.35,Bitcoin(BTC) SHA-256,24737945492.662476,4.042372881355932e-11
21,Bitmain Antminer S17 Pro 53Th,2019-04-01,53000000000000.0,2094.0,SHA-256,6.35,1.33,Bitcoin(BTC) SHA-256,25310410697.230183,3.950943396226415e-11
22,Bitmain Antminer S17 Pro 50Th,2019-04-01,50000000000000.0,1975.0,SHA-256,5.99,1.25,Bitcoin(BTC) SHA-256,25316455696.20253,3.9500000000000006e-11
23,Innosilicon A9+ ZMaster,2019-01-01,,1550.0,Equihash,4.92,1.2,Horizen(ZEN) Equihash,,
24,FusionSilicon X7,2019-02-01,262000000000.0,1300.0,X11,4.12,1.0,Imagecoin(IMG) X11,201538461.53846154,4.9618320610687026e-09
25,Bitmain Antminer Z11J,2019-08-01,,1418.0,Equihash,4.3,0.9,Horizen(ZEN) Equihash,,
26,Bitmain Antminer S17e 64T,2019-09-01,64000000000000.0,2880.0,SHA-256,7.67,0.76,Bitcoin(BTC) SHA-256,22222222222.22222,4.5e-11
27,Bitmain Antminer S17 56Th,2019-04-01,56000000000000.0,2520.0,SHA-256,6.71,0.66,Bitcoin(BTC) SHA-256,22222222222.22222,4.5e-11
28,MicroBT Whatsminer M31s,2020-04-01,70000000000000.0,3220.0,SHA-256,8.39,0.66,Bitcoin(BTC) SHA-256,21739130434.782608,4.6e-11
29,Bitmain Antminer S17 53Th,2019-04-01,53000000000000.0,2385.0,SHA-256,6.35,0.63,Bitcoin(BTC) SHA-256,22222222222.22222,4.5e-11
30,Ebang EBIT E12+,2019-08-01,50000000000000.0,2250.0,SHA-256,5.99,0.59,Bitcoin(BTC) SHA-256,22222222222.22222,4.5e-11
31,Innosilicon A9 ZMaster,2018-06-01,,620.0,Equihash,2.05,0.56,Horizen(ZEN) Equihash,,
32,Innosilicon A6+ LTC Master,2019-01-01,2200000000.0,2100.0,Scrypt,5.57,0.53,Verge-Scrypt(XVG) Scrypt,1047619.0476190476,9.545454545454546e-07
33,Ebang EBIT E12,2019-08-01,44000000000000.0,1980.0,SHA-256,5.27,0.52,Bitcoin(BTC) SHA-256,22222222222.22222,4.5e-11
34,Ebang EBIT E11++,2018-11-01,44000000000000.0,1980.0,SHA-256,5.27,0.52,Bitcoin(BTC) SHA-256,22222222222.22222,4.5e-11
35,Canaan Avalon 1166,2020-01-01,68000000000000.0,3196.0,SHA-256,8.15,0.48,Bitcoin(BTC) SHA-256,21276595744.68085,4.7e-11
36,StrongU STU-U8,2019-07-01,46000000000000.0,2100.0,SHA-256,5.51,0.47,Bitcoin(BTC) SHA-256,21904761904.761906,4.565217391304348e-11
37,Cheetah Miner F5i-60T,2019-10-01,60000000000000.0,2820.0,SHA-256,7.19,0.42,Bitcoin(BTC) SHA-256,21276595744.68085,4.7e-11
