,name,hashing_power,power,efficiency,type,consumption,release_date
0,GTX 1070 8GB Dual OC,460.0,115.0,3.99,GPU,0.2506265664160401,
1,GTX 980ti 6GB Gaming,460.0,,2.27,GPU,0.44052863436123346,
2,GTX 1050 2Gb,172.0,67.5,2.5481481481481483,GPU,0.39244186046511625,
3,AORUS GeForce GTX 1080 Ti 11G,785.0,300.0,2.62,GPU,0.38167938931297707,
4,GTX 1080 Ti Waterforce 11GD,730.0,225.0,3.25,GPU,0.3076923076923077,
5,GTX 1070 TI,520.0,125.0,4.16,GPU,0.24038461538461536,
6,GTX 1070 G1,445.0,125.0,3.56,GPU,0.2808988764044944,
7,GTX 1080 Aero 8GB OC,610.0,200.0,3.05,GPU,0.3278688524590164,
8,GTX 1070 EX,490.0,180.0,2.7222222222222223,GPU,0.36734693877551017,
9,GTX 1070 EX,440.0,120.0,3.6666666666666665,GPU,0.27272727272727276,
10,GTX 1080 GamingX+,580.0,160.0,3.625,GPU,0.27586206896551724,
11,GTX 1080 Ti HOF,790.0,200.0,3.95,GPU,0.2531645569620253,
12,GTX 760 DirectCU2 OC 2GB,60.0,99.0,0.6060606060606061,GPU,1.65,
13,GTX 1080 8GB Aero Arctic Accelero Mod,566.0,180.0,3.1444444444444444,GPU,0.31802120141342755,
14,GTX 1070 8GB Quick Silver,450.0,130.0,3.4615384615384617,GPU,0.28888888888888886,
15,GTX 980 Ti STRIX OC 6GB,470.0,265.0,1.7735849056603774,GPU,0.5638297872340425,
16,GTX 980 Ti STRIX OC 6GB,495.0,275.0,1.8,GPU,0.5555555555555556,
17,GTX 980 Ti AMP! EXTREME,510.0,265.0,1.9245283018867925,GPU,0.5196078431372549,
18,GTX 1080 Ti FE,715.0,215.0,3.3255813953488373,GPU,0.3006993006993007,
19,GTX 1060 FTW+ 6GB,320.0,100.0,3.2,GPU,0.3125,
20,GTX 1060 FTW+ 3GB,305.0,95.0,3.210526315789474,GPU,0.31147540983606553,
21,Radeon HD 7990,862.0,480.0,1.7958333333333334,GPU,0.5568445475638051,
22,R9 270X 2G D5 Vapor-X,198.0,185.0,1.0702702702702702,GPU,0.9343434343434344,
23,GTX 980 Gaming 4G,330.0,185.0,1.7837837837837838,GPU,0.5606060606060607,
24,R9 280x,317.0,215.0,1.4744186046511627,GPU,0.6782334384858044,
25,R9 280x,290.0,205.0,1.4146341463414633,GPU,0.706896551724138,
26,R9 280x,297.0,215.0,1.3813953488372093,GPU,0.7239057239057239,
27,R9 290,285.0,225.0,1.2666666666666666,GPU,0.7894736842105263,
28,R9 290x 4GB reference,397.0,165.7,2.3958961979480993,GPU,0.4173803526448362,
29,RX 480 4GB Gaming,242.0,150.0,1.6133333333333333,GPU,0.6198347107438017,
30,RX 480 8GB Gaming,261.0,150.0,1.74,GPU,0.5747126436781609,
31,RX 480 8GB,310.0,115.0,2.6956521739130435,GPU,0.3709677419354839,
32,R9 Fury Tri-X,460.0,165.0,2.787878787878788,GPU,0.358695652173913,
33,HD 7850 PCS+ 2GB,167.0,130.0,1.2846153846153847,GPU,0.778443113772455,
34,GTX 950 OC 2GB,155.0,120.0,1.2916666666666667,GPU,0.7741935483870968,
35,GTX 960 SSC,160.0,95.0,1.6842105263157894,GPU,0.59375,
36,GTX 980 SC,325.0,180.0,1.8055555555555556,GPU,0.5538461538461539,
37,GTX 1070 G1,458.0,185.0,2.4756756756756757,GPU,0.4039301310043668,
38,GTX 980 Ti Matrix Platinum 6Gb,460.0,206.0,2.233009708737864,GPU,0.44782608695652176,
39,GTX 1070 Gaming X,475.0,156.0,3.0448717948717947,GPU,0.32842105263157895,
40,GTX 1070 HOF,450.0,138.0,3.260869565217391,GPU,0.3066666666666667,
41,GTX 1080 STRIX A8G,550.0,151.0,3.642384105960265,GPU,0.27454545454545454,
42,GTX 1080 Gaming X,550.0,141.0,3.900709219858156,GPU,0.25636363636363635,
43,GTX 1080 Ti ROG Strix,700.0,206.0,3.3980582524271843,GPU,0.2942857142857143,
44,GTX 1080 8GB,540.0,214.0,2.5233644859813085,GPU,0.3962962962962963,
45,GTX 980 Ti,490.0,318.0,1.5408805031446542,GPU,0.6489795918367347,
46,GTX 980 Ti Windforce OC,485.0,265.0,1.830188679245283,GPU,0.5463917525773195,
47,GTX 1080 Ti,680.0,195.0,3.4871794871794872,GPU,0.2867647058823529,
48,RX 570,285.0,150.0,1.9,GPU,0.5263157894736842,
49,R9 Fury X,480.0,275.0,1.7454545454545454,GPU,0.5729166666666667,
50,R7 360 2GB,105.0,110.0,0.9545454545454546,GPU,1.0476190476190477,
51,R7 260x 2GB,95.0,115.0,0.8260869565217391,GPU,1.2105263157894737,
52,R9 280x IceQ X2 3GB,301.0,250.0,1.204,GPU,0.8305647840531561,
53,GTX 1080 Ti,745.0,200.0,3.725,GPU,0.2684563758389262,
54,GTX 1070 FTW DT,460.0,115.0,4.0,GPU,0.25,
55,R9 280X Dual-X 4GB,305.0,220.0,1.3863636363636365,GPU,0.721311475409836,
56,GTX 750 Ti,80.0,60.0,1.3333333333333333,GPU,0.75,
57,GTX 970 Twin Turbo 4GB,227.0,140.0,1.6214285714285714,GPU,0.6167400881057269,
58,"GTX 1080 Ti, 3 fan",740.0,245.0,3.020408163265306,GPU,0.3310810810810811,
59,GTX 1050 Ti,180.0,75.0,2.4,GPU,0.4166666666666667,
