,release_date,name,hashing_power,power,efficiency,type,consumption
0,3/19/2012,Radeon HD 7870,10000000,175,60000,GPU,1.67E-05
1,3/22/2012,GeForce GTX 680,15000000,195,80000,GPU,1.25E-05
2,8/16/2012,GeForce GTX 660 Ti,12000000,150,80000,GPU,1.25E-05
3,9/10/2012,GeForce GTX 650 Ti,10000000,110,90000,GPU,1.11E-05
4,1/4/2013,Radeon R9 HD 7990,36000000,375,100000,GPU,1.00E-05
5,5/23/2013,GeForce GTX 780,20000000,250,80000,GPU,1.25E-05
6,5/30/2013,GeForce GTX 770,15000000,230,70000,GPU,1.43E-05
7,6/25/2013,GeForce GTX 760,15000000,170,90000,GPU,1.11E-05
8,10/24/2013,Sapphire R9 290X,31000000,290,110000,GPU,9.09E-06
9,7/11/2013,GeForce GTX 780 Ti,22000000,250,90000,GPU,1.11E-05
10,12/19/2013,Radeon R9 290x Tri-X,22000000,290,80000,GPU,1.25E-05
11,2/18/2014,GeForce GTX 750 Ti ,6000000,40,150000,GPU,6.67E-06
12,2/18/2014,GeForce GTX Titan Black,21000000,250,80000,GPU,1.25E-05
13,8/4/2014,Radeon R9 295x2,46000000,500,90000,GPU,1.11E-05
14,9/18/2014,GeForce GTX 980,20000000,165,120000,GPU,8.33E-06
15,9/18/2014,GeForce GTX 970,16000000,145,110000,GPU,9.09E-06
16,1/22/2015,GeForce GTX 960,11000000,120,90000,GPU,1.11E-05
17,3/17/2015,GeForce GTX Titan X,40000000,250,160000,GPU,6.25E-06
18,1/6/2015,Radeon R9 390,32000000,275,120000,GPU,8.33E-06
19,1/6/2015,Radeon R9 390X,34000000,275,120000,GPU,8.33E-06
20,1/6/2015,Radeon Strix R7 370,12000000,110,110000,GPU,9.09E-06
21,1/6/2015,Radeon R9 380,17000000,190,90000,GPU,1.11E-05
22,1/6/2015,Radeon R9 Fury X,24000000,275,90000,GPU,1.11E-05
23,2/6/2015,GeForce GTX 980 Ti,24000000,250,90000,GPU,1.11E-05
24,1/8/2015,Radeon R9 Nano,23000000,175,130000,GPU,7.69E-06
25,1/11/2015,Radeon R9 380x,18000000,200,90000,GPU,1.11E-05
26,5/27/2016,GeForce GTX 1080  ,27000000,180,150000,GPU,6.67E-06
27,1/6/2016,Radeon Rx 480,25000000,150,170000,GPU,5.88E-06
28,10/6/2016,GeForce GTX 1070,30000000,150,200000,GPU,5.00E-06
29,1/8/2016,Radeon RX 460,13000000,75,170000,GPU,5.88E-06
30,1/8/2016,Radeon RX 470 ,24000000,150,160000,GPU,6.25E-06
31,8/18/2016,GeForce GTX 1060,24000000,120,200000,GPU,5.00E-06
32,10/25/2016,Radeon GTX 1050 Ti,15000000,75,200000,GPU,5.00E-06
33,10/3/2017,GeForce GTX 1080 Ti,37000000,250,150000,GPU,6.67E-06
34,6/4/2017,GeForce Titan Xp,31000000,250,120000,GPU,8.33E-06
35,4/18/2017,Radeon RX 570,22000000,115,190000,GPU,5.26E-06
36,4/18/2017,Radeon RX 580,30000000,185,160000,GPU,6.25E-06
37,4/20/2017,Radeon RX 550,11000000,50,220000,GPU,4.55E-06
38,1/7/2017,Radeon RX Vega Frontier Edition,37000000,300,120000,GPU,8.33E-06
39,8/14/2017,Radeon RX Vega 64,40000000,295,140000,GPU,7.14E-06
40,8/14/2017,Radeon RX Vega 64 Liquid,44000000,345,130000,GPU,7.69E-06
41,8/28/2017,Radeon RX Vega 56,37000000,210,180000,GPU,5.56E-06
42,2/11/2017,GeForce GTX 1070 Ti,32000000,150,210000,GPU,4.76E-06
43,12/13/2017,GTX Titan V,77000000,237,320000,GPU,3.13E-06
44,9/1/2019,Innosilicon A10 ETHMaster 500Mh,500000000,750,666666.6667,ASIC,1.50E-06
45,9/1/2018,Innosilicon A10 ETHMaster 485Mh,485000000,850,570588.2353,ASIC,1.75E-06
