name,price
GeForce GTX 1060,350
GeForce GTX 1070,415
GeForce GTX 1070 Ti,599
GeForce GTX 1080,550
GeForce GTX 1080 Ti,745
GeForce GTX 750 Ti,150
GeForce GTX 980,461
GeForce GTX Titan X,999
GeForce Titan Xp,1200
GTX Titan V,2999
Innosilicon A10 ETHMaster 485Mh,5649
Innosilicon A10 ETHMaster 500Mh,3140
Radeon GTX 1050 Ti,140
Radeon R9 390,362
Radeon R9 390X,450
Radeon R9 Nano,499
Radeon RX 460,100
Radeon RX 470,170
Radeon Rx 480,250
Radeon RX 550,90
Radeon RX 570,150
Radeon RX 580,180
Radeon RX Vega 56,900
Radeon RX Vega 64,499
Radeon RX Vega 64 Liquid,699
Radeon RX Vega Frontier Edition,800
