Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$133,110,418,061","$7,268.88",BTC,SHA-256,554.0,14715214060656.0,1.1408188293169113e+20,12.6492,7227.3,BTC
ethereum,2,"$18,556,505,901",$168.03,ETH,Ethash,13.2517,2174014449803480.0,164055513617383.0,2.0,0.023112,BTC
bitcoincash,3,"$4,848,732,762",$263.88,BCH,SHA-256,600.0,515753910045.02,0.0,,,
bitcoinsv,4,"$3,796,699,155",$206.65,BSV,SHA-256,517.0,413761094035.602,3.437312122321259e+18,12.5,0.028254,BTC
litecoin,5,"$2,942,445,052",$45.64,LTC,Scrypt,136.0,5205207.651,164383798749514.0,12.5,0.0062744,BTC
monero,6,"$990,707,158",$56.56,XMR,RandomX,116.0,148735889025.0,1282205939.0,1.784319175611,0.007803,BTC
cardano,7,"$931,630,701",$0.035933,,,,,,,,
tron,8,"$900,023,741",$0.013497,,,,,,,,
dash,9,"$694,807,182",$73.69,DASH,X11,160.0,161183572.41954,4326738576214823.0,1.5533134445469152,0.01010778,BTC
ethereumclassic,10,"$654,214,963",$5.62,ETC,Ethash,13.0851,119116209276332.0,9103194417798.0,3.104,0.0007732,BTC
zcash,11,"$358,079,589",$36.74,ZEC,Equihash,75.0,42419553.7449158,4633346457.0,5.0,0.00504139,BTC
dogecoin,12,"$249,835,280",$0.002014,DOGE,Scrypt,62.0,2521031.27872716,174641078940745.0,10000.0,2.7533e-07,BTC
bitcoingold,13,"$147,339,414",$8.41,BTG,Zhash,574.0,199931.76205799,2853381.0,12.5,0.001159,BTC
decred,14,"$135,279,274",$12.54,DCR,Blake (14r),331.0,23549367027.2887,3.0557027560031936e+17,9.234857748276793,0.00172123,BTC
algorand,15,"$124,864,774",$0.185883,,,,,,,,
ravencoin,16,"$99,224,585",$0.016826,RVN,X16Rv2,60.0,502835.166960808,35994343289589.0,5000.0,2.3e-06,BTC
bitcoindiamond,17,"$98,519,623",$0.528275,BCD,BCD,650.0,1970184.31579004,13018272620631.0,125.0,7.267e-05,BTC
monacoin,18,"$83,110,442",$1.26,MONA,Lyra2REv2,94.0,3306890.66775744,151095609249636.0,25.0,0.00017427,BTC
digibyte,19,"$82,646,511",$0.006352,DGB,Scrypt,15.0,3140956.1765571,0.0,,,
energi,20,"$64,150,362",$2.30,,,,,,,,
siacoin,21,"$60,930,179",$0.001457,,,,,,,,
bytom,22,"$60,488,078",$0.060337,BTM,Tensority,147.0,69796619577.616,474806935.0,412.5,8.136e-06,BTC
abbccoin,23,"$56,146,882",$0.101090,,,,,,,,
horizen,24,"$52,351,809",$5.95,ZEN,Equihash,148.0,10895253.9231022,603067027.0,7.5,0.0008176,BTC
komodo,25,"$51,964,302",$0.436163,KMD,Equihash,59.0,271904466.52084,73736804.0,3.0,6.02e-05,BTC
hypercash,26,"$48,032,032",$1.08,,,,,,,,
zilliqa,27,"$45,441,130",$0.004529,,,,,,,,
verge,28,"$45,375,033",$0.002796,XVG,Scrypt,30.0,14094.7232,0.0,,,
