Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$96,857,634,339","$5,300.20",BTC,SHA-256,787.0,16552923967337.0,9.033579046110164e+19,13.0872,5246.43,BTC
ethereum,2,"$12,862,918,727",$116.80,ETH,Ethash,13.3475,2084378411642390.0,156162458261276.0,2.0,0.02206945,BTC
bitcoincash,3,"$3,334,576,134",$181.87,BCH,SHA-256,600.0,545547766342.61993,0.0,,,
litecoin,4,"$2,232,848,115",$34.72,LTC,Scrypt,156.0,5152157.5,141848384399622.0,12.5,0.0065623,BTC
bitcoinsv,5,"$2,181,597,495",$119.00,BSV,SHA-256,583.0,361938340539.469,2.6664036634400174e+18,12.5,0.022276,BTC
tron,6,"$673,404,720",$0.010099,,,,,,,,
cardano,7,"$670,144,840",$0.025847,,,,,,,,
monero,8,"$635,486,108",$36.34,XMR,RandomX,120.0,139527018757.0,1162725156.0,1.868362850764,0.006851,BTC
ethereumclassic,9,"$536,203,208",$4.61,ETC,Ethash,13.5743,143080743601856.0,10540561472919.0,3.104,0.0008736,BTC
dash,10,"$426,691,514",$45.46,DASH,X11,158.0,165706673.784275,4504460409065833.0,1.5533134445469152,0.00848631,BTC
zcash,11,"$234,808,531",$24.90,ZEC,Equihash,75.0,53030260.2957273,5792318564.0,5.0,0.00470187,BTC
dogecoin,12,"$202,933,254",$0.001640,DOGE,Scrypt,63.0,2144472.9107821,146197476491540.0,10000.0,3.0913e-07,BTC
bitcoingold,13,"$108,340,835",$6.19,BTG,Zhash,573.0,186469.808709243,2665899.0,12.5,0.0011654,BTC
decred,14,"$104,897,663",$9.72,DCR,Blake (14r),310.0,25923043211.9588,3.5915684776825094e+17,9.32720632575956,0.00181054,BTC
algorand,15,"$90,665,626",$0.138239,,,,,,,,
bitcoindiamond,16,"$74,399,310",$0.398939,BCD,BCD,526.0,3820887.79346606,31198836719814.0,125.0,7.473e-05,BTC
ravencoin,17,"$74,057,232",$0.012904,RVN,X16Rv2,59.0,463849.266870039,33766397143735.0,5000.0,2.44e-06,BTC
monacoin,18,"$69,261,343",$1.05,MONA,Lyra2REv2,94.0,2746937.88208723,125510727316044.0,25.0,0.00019591,BTC
abbccoin,19,"$54,122,007",$0.097444,,,,,,,,
bytom,20,"$49,640,427",$0.049517,,,,,,,,
