Name,#,market_cap,price,tag,algorithm,block_time,difficulty,nethash_scraped,block_reward,exchange_rate,exchange_rate_curr
bitcoin,1,"$112,637,095,947","$6,157.28",BTC,SHA-256,628.0,13912524048945.0,9.514942005578388e+19,12.6816,6122.69,BTC
ethereum,2,"$14,302,393,217",$129.67,ETH,Ethash,13.2139,2241399663970820.0,169624385228495.0,2.0,0.02106649,BTC
bitcoincash,3,"$3,901,231,254",$212.52,BCH,SHA-256,600.0,540246778127.41,0.0,,,
bitcoinsv,4,"$2,858,475,679",$155.74,BSV,SHA-256,585.0,348550270525.609,2.5589948938793897e+18,12.5,0.02532,BTC
litecoin,5,"$2,474,367,059",$38.43,LTC,Scrypt,140.0,4894266.392,150147957796799.0,12.5,0.0062527,BTC
monero,6,"$804,523,074",$45.97,XMR,RandomX,110.0,157829831360.0,1434816648.0,1.801793169617,0.007469,BTC
cardano,7,"$764,962,992",$0.029504,,,,,,,,
tron,8,"$749,038,292",$0.011233,,,,,,,,
dash,9,"$603,611,050",$64.17,DASH,X11,158.0,152966462.749933,4158138955036484.0,1.5533134445469152,0.01045151,BTC
ethereumclassic,10,"$582,962,764",$5.01,ETC,Ethash,13.0344,130750902187051.0,10031217561763.0,3.104,0.0008164,BTC
zcash,11,"$287,010,833",$29.89,ZEC,Equihash,75.0,44114931.7668489,4818526947.0,5.0,0.00485233,BTC
dogecoin,12,"$219,346,198",$0.001770,DOGE,Scrypt,62.0,2369565.22328327,164148469995815.0,10000.0,2.8875e-07,BTC
bitcoingold,13,"$122,757,253",$7.01,BTG,Zhash,601.0,143052.053923977,1949887.0,12.5,0.0011374,BTC
decred,14,"$116,933,379",$10.84,DCR,Blake (14r),308.0,26759941518.2903,3.7315933007769286e+17,9.32720632575956,0.00176483,BTC
algorand,15,"$99,227,832",$0.149290,,,,,,,,
ravencoin,16,"$83,285,655",$0.014296,RVN,X16Rv2,59.0,554780.393005344,40385824481694.0,5000.0,2.33e-06,BTC
bitcoindiamond,17,"$83,120,651",$0.445704,BCD,BCD,566.0,2879540.24188775,21850761778133.0,125.0,7.228e-05,BTC
monacoin,18,"$78,151,036",$1.19,MONA,Lyra2REv2,94.0,4135507.04134022,188956037180148.0,25.0,0.00019148,BTC
bytom,19,"$58,490,308",$0.058344,,,,,,,,
digibyte,20,"$53,041,585",$0.004087,DGB,Scrypt,15.0,429961890.17089,0.0,,,
siacoin,21,"$50,425,363",$0.001206,,,,,,,,
abbccoin,22,"$49,520,299",$0.089159,,,,,,,,
horizen,23,"$47,335,271",$5.42,ZEN,Equihash,152.0,11797091.0484406,635801117.0,7.5,0.000871,BTC
energi,24,"$46,392,056",$1.69,,,,,,,,
hypercash,25,"$41,834,949",$0.938887,,,,,,,,
komodo,26,"$40,658,326",$0.341703,KMD,Equihash,60.0,216886739.554368,57836463.0,3.0,5.53e-05,BTC
