Name,#,market_cap,price
bitcoin,1,"$126,497,110,298","$6,898.35"
ethereum,2,"$19,146,815,554",$173.11
bitcoincash,3,"$4,051,981,735",$220.38
bitcoinsv,4,"$3,387,592,771",$184.26
litecoin,5,"$2,629,088,803",$40.72
monero,6,"$964,504,237",$55.02
cardano,7,"$892,796,929",$0.034435
tron,8,"$837,584,659",$0.012561
dash,9,"$711,968,317",$75.34
ethereumclassic,10,"$608,331,660",$5.23
zcash,11,"$382,086,228",$42.52
dogecoin,12,"$248,040,048",$0.001997
bitcoingold,13,"$155,798,468",$8.90
decred,14,"$137,278,342",$12.06
algorand,15,"$126,294,278",$0.180097
digibyte,16,"$97,908,968",$0.007499
ravencoin,17,"$95,880,851",$0.016011
bitcoindiamond,18,"$95,038,249",$0.509608
monacoin,19,"$76,236,583",$1.16
komodo,20,"$65,326,281",$0.547085
energi,21,"$65,250,342",$2.32
abbccoin,22,"$59,518,937",$0.107161
bytom,23,"$55,626,543",$0.055488
siacoin,24,"$54,825,333",$0.001311
horizen,25,"$49,842,938",$5.60
hypercash,26,"$43,377,667",$0.972945
verge,27,"$42,534,633",$0.002619
bytecoin,28,"$42,133,860",$0.000229
zilliqa,29,"$41,198,040",$0.004093
zcoin,30,"$38,246,335",$3.85
aeternity,31,"$30,210,241",$0.098125
aion,32,"$25,204,984",$0.061414
tomochain,33,"$22,065,032",$0.313340
cortex,34,"$21,434,584",$0.085759
elastos,35,"$20,805,823",$1.13
electroneum,36,"$18,826,575",$0.001869
grin,37,"$18,372,376",$0.462521
nuls,38,"$18,178,031",$0.187784
beam,39,"$15,398,748",$0.256491
divi,40,"$14,613,424",$0.008950
ilcoin,41,"$14,303,388",$0.032643
vertcoin,42,"$13,801,862",$0.253690
groestlcoin,43,"$11,176,298",$0.149244
loki,44,"$11,149,396",$0.235216
syscoin,45,"$10,886,699",$0.018640
cryptonex,46,"$89,409,540",$1.61
counoscoin,47,"$71,774,503",$4.83
vitae,48,"$28,217,756",$1.45
edcblockchain,49,"$16,015,042",$0.005997
fibos,50,"$11,366,358",$0.010699
microbitcoin,51,"$11,277,908",$0.000060
unobtanium,52,"$11,054,379",$54.72
zvchain,53,"$9,934,186",$0.018759
nexus,54,"$9,638,573",$0.149038
newton,55,"$8,978,006",$0.000436
einsteinium,56,"$8,235,156",$0.037491
otocash,57,"$7,479,454",$0.350887
burst,58,"$7,314,058",$0.003500
polis,59,"$7,289,070",$0.741370
metaverseetp,60,"$7,210,501",$0.092411
nkn,61,"$7,192,135",$0.015412
mircoin,62,"$7,006,122",$0.007956
aeon,63,"$6,234,658",$0.393814
lbrycredits,64,"$5,680,789",$0.016140
gulden,65,"$5,545,640",$0.010865
lightningbitcoin,66,"$5,399,342",$1.40
