Name,Market Cap ($),Price,Volume (24h),Circulating Supply
Bitcoin,158206347489.00,8669.95,36604114509,"18,247,675 BTC"
Ethereum,24400925494.00,221.98,17556366958,"109,925,923 ETH"
XRP,10204956983.00,0.233099,2089256294,"43,779,512,655 XRP *"
Bitcoin Cash,5865093844.00,320.35,4251315222,"18,308,363 BCH"
Tether,4641705657.00,0.999857,45768057216,"4,642,367,414 USDT *"
Bitcoin SV,4250277560.00,232.18,2250321444,"18,305,602 BSV"
Litecoin,3801726487.00,59.21,4433870551,"64,202,387 LTC"
EOS,3319873767.00,3.61,3293141422,"920,580,625 EOS *"
Binance Coin,3022819639.00,19.43,393910993,"155,536,713 BNB *"
Tezos,1939616257.00,2.76,132339471,"702,528,200 XTZ *"
Chainlink,1447271581.00,4.14,442243913,"350,000,000 LINK *"
Cardano,1226268999.00,0.047297,102267054,"25,927,070,538 ADA"
Stellar,1162408436.00,0.057525,381354925,"20,207,027,029 XLM *"
Monero,1159232548.00,66.37,101835102,"17,466,147 XMR"
TRON,1123978612.00,0.016856,1570324125,"66,682,072,191 TRX"
Huobi Token,1058459500.00,4.63,548479373,"228,540,245 HT *"
UNUS SED LEO,954526972.00,0.955006,8062013,"999,498,893 LEO *"
Ethereum Classic,946589684.00,8.14,1614433225,"116,313,299 ETC"
Dash,814511194.00,87.02,747414446,"9,359,544 DASH"
Neo,812325548.00,11.52,740696082,"70,538,831 NEO *"
Crypto.com Coin,741804310.00,0.053782,16375644,"13,792,694,064 CRO *"
HedgeTrade,692096072.00,2.4,1219457,"288,208,798 HEDG *"
Cosmos,671113734.00,3.52,142864447,"190,688,439 ATOM *"
IOTA,602890202.00,0.216904,6046224,"2,779,530,283 MIOTA *"
Maker,546030927.00,553.11,5379789,"987,193 MKR *"
Zcash,460911098.00,50.03,311995941,"9,212,506 ZEC"
NEM,453391868.00,0.050377,27325013,"8,999,999,999 XEM *"
Ontology,450222194.00,0.706396,112828121,"637,351,170 ONT *"
USD Coin,437228880.00,1,837858240,"436,509,786 USDC *"
OKB,342468069.00,5.71,250545010,"60,000,000 OKB *"
VeChain,311076121.00,0.00561,159865072,"55,454,734,800 VET *"
Basic Attention Token,309149055.00,0.216112,59173973,"1,430,500,738 BAT *"
Dogecoin,282038117.00,0.002283,166256231,"123,544,326,274 DOGE"
FTX Token,250442232.00,2.6,2827463,"96,498,212 FTT *"
Qtum,200412578.00,2.08,460381394,"96,423,724 QTUM *"
Paxos Standard,198962661.00,1,462926504,"198,449,056 PAX *"
Algorand,193063571.00,0.32896,93702462,"586,890,345 ALGO"
Decred,189156304.00,17.54,102700127,"10,786,831 DCR"
Bitcoin Gold,170070863.00,9.71,39606584,"17,513,924 BTG"
Lisk,167745634.00,1.37,6918405,"122,302,929 LSK *"
ICON,159246856.00,0.30339,13959460,"524,892,164 ICX *"
0x,152867259.00,0.244085,25980981,"626,286,727 ZRX *"
ZB Token,148047965.00,0.319559,44724258,"463,288,810 ZB *"
Ravencoin,144462518.00,0.025655,10194739,"5,631,060,000 RVN"
TrueUSD,142861071.00,1,663983895,"142,774,586 TUSD *"
Synthetix Network Token,137560822.00,0.821817,793423,"167,386,257 SNX *"
Augur,136436998.00,12.4,58395532,"11,000,000 REP *"
Kyber Network,126256263.00,0.703177,125209466,"179,551,264 KNC *"
Bitcoin Diamond,122166286.00,0.655072,11294459,"186,492,898 BCD"
OmiseGO,119624890.00,0.852968,202596440,"140,245,398 OMG *"
Hedera Hashgraph,119613199.00,0.035416,6049378,"3,377,366,918 HBAR *"
Multi-collateral DAI,117231244.00,1,24130338,"116,673,403 DAI *"
Waves,114578150.00,1.13,56918065,"101,285,608 WAVES *"
MonaCoin,110840319.00,1.69,6100756,"65,729,675 MONA"
THETA,104919520.00,0.120528,4345720,"870,502,690 THETA *"
Holo,101932630.00,0.000624,7087390,"163,438,653,710 HOT *"
Nano,98739031.00,0.741015,3639154,"133,248,297 NANO *"
KuCoin Shares,97222125.00,1.19,8948569,"81,850,451 KCS *"
Siacoin,96458357.00,0.002307,1228490,"41,817,047,634 SC"
Bytecoin,92702248.00,0.000504,19536,"184,066,828,814 BCN"
Nexo,89665880.00,0.160118,13979068,"560,000,011 NEXO *"
Nervos Network,89070965.00,0.006579,7169521,"13,538,355,493 CKB *"
v.systems,89030675.00,0.045992,5790814,"1,935,771,690 VSYS *"
Horizen,85591701.00,10.02,1543230,"8,539,588 ZEN"
Enjin Coin,85259890.00,0.104643,9423766,"814,772,129 ENJ *"
DigixDAO,83493268.00,41.75,690182,"2,000,000 DGD *"
MCO,79589136.00,5.04,24160849,"15,793,831 MCO *"
Bytom,78237823.00,0.078043,11905912,"1,002,499,275 BTM"
BitTorrent,77869599.00,0.000367,74783097,"212,116,500,000 BTT *"
Komodo,75922471.00,0.640276,2536293,"118,577,670 KMD"
DxChain Token,75060872.00,0.001501,2002195,"50,000,000,000 DX *"
